chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
1/1/2022,1,All I Want For Christmas Is You,Mariah Carey,1,1,50
1/1/2022,2,Rockin' Around The Christmas Tree,Brenda Lee,2,2,44
1/1/2022,3,Jingle Bell Rock,Bobby Helms,4,3,41
1/1/2022,4,A Holly Jolly Christmas,Burl Ives,5,4,25
1/1/2022,5,Easy On Me,Adele,3,1,11
1/1/2022,6,It's The Most Wonderful Time Of The Year,Andy Williams,7,5,26
1/1/2022,7,Last Christmas,Wham!,9,7,24
1/1/2022,8,Feliz Navidad,Jose Feliciano,11,6,19
1/1/2022,9,Stay,The Kid LAROI & Justin Bieber,6,1,24
1/1/2022,10,Sleigh Ride,The Ronettes,13,10,15
1/1/2022,11,The Christmas Song (Merry Christmas To You),Nat King Cole,15,11,31
1/1/2022,12,"Let It Snow, Let It Snow, Let It Snow",Dean Martin,17,8,18
1/1/2022,13,Underneath The Tree,Kelly Clarkson,18,12,14
1/1/2022,14,Broadway Girls,Lil Durk Featuring Morgan Wallen,0,14,1
