chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2022-01-01,1,All I Want For Christmas Is You,Mariah Carey,1,1,50
2022-01-01,2,Rockin' Around The Christmas Tree,Brenda Lee,2,2,44
2022-01-01,3,Jingle Bell Rock,Bobby Helms,4,3,41
2022-01-01,4,A Holly Jolly Christmas,Burl Ives,5,4,25
2022-01-01,5,Easy On Me,Adele,3,1,11
2022-01-01,6,It's The Most Wonderful Time Of The Year,Andy Williams,7,5,26
2022-01-01,7,Last Christmas,Wham!,9,7,24
2022-01-01,8,Feliz Navidad,Jose Feliciano,11,6,19
2022-01-01,9,Stay,The Kid LAROI & Justin Bieber,6,1,24
2022-01-01,10,Sleigh Ride,The Ronettes,13,10,15
2022-01-01,11,The Christmas Song (Merry Christmas To You),Nat King Cole,15,11,31
2022-01-01,12,"Let It Snow, Let It Snow, Let It Snow",Dean Martin,17,8,18
2022-01-01,13,Underneath The Tree,Kelly Clarkson,18,12,14
2022-01-01,14,Broadway Girls,Lil Durk Featuring Morgan Wallen,0,14,1
2022-01-01,15,Heat Waves,Glass Animals,8,7,49
2022-01-01,16,Christmas (Baby Please Come Home),Darlene Love,25,16,11
2022-01-01,17,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,19,12,11
2022-01-01,18,Santa Tell Me,Ariana Grande,24,17,12
2022-01-01,19,Rudolph The Red-Nosed Reindeer,Gene Autry,21,16,16
2022-01-01,20,Happy Holiday / The Holiday Season,Andy Williams,22,18,12
2022-01-01,21,White Christmas,Bing Crosby,27,12,24
2022-01-01,22,Industry Baby,Lil Nas X & Jack Harlow,10,1,22
2022-01-01,23,Shivers,Ed Sheeran,12,5,15
2022-01-01,24,Need To Know,Doja Cat,14,8,28
2022-01-01,25,Run Rudolph Run,Chuck Berry,32,10,13
2022-01-01,26,Super Gremlin,Kodak Black,20,20,7
2022-01-01,27,abcdefu,GAYLE,16,15,5
2022-01-01,28,(There's No Place Like) Home For The Holidays,Perry Como,28,22,11
2022-01-01,29,Cold Heart (PNAU Remix),Elton John & Dua Lipa,23,11,16
2022-01-01,30,It's Beginning To Look A Lot Like Christmas,Michael Buble,36,20,9
2022-01-01,31,Bad Habits,Ed Sheeran,26,2,26
2022-01-01,32,Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),30,5,7
2022-01-01,33,Jingle Bells,Frank Sinatra,0,33,3
2022-01-01,34,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,44,32,4
2022-01-01,35,Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,50,35,2
2022-01-01,36,Wonderful Christmastime,Paul McCartney,41,28,6
2022-01-01,37,Linus & Lucy,Vince Guaraldi Trio,0,37,1
2022-01-01,38,Good 4 U,Olivia Rodrigo,33,1,32
2022-01-01,39,Ghost,Justin Bieber,37,32,13
2022-01-01,40,Please Come Home For Christmas,Eagles,0,18,10
2022-01-01,41,Santa Claus Is Comin' To Town,Jackson 5,0,41,2
2022-01-01,42,I Hate U,SZA,31,7,3
2022-01-01,43,Little Saint Nick,The Beach Boys,0,43,2
2022-01-01,44,Mistletoe,Justin Bieber,49,11,12
2022-01-01,45,Fancy Like,Walker Hayes,35,3,27
2022-01-01,46,Deck The Halls,Nat King Cole,0,43,3
2022-01-01,47,Have Yourself A Merry Little Christmas,Michael Buble,0,47,2
2022-01-01,48,Christmastime Is Here,Vince Guaraldi Trio,0,48,1
2022-01-01,49,Thats What I Want,Lil Nas X,45,10,14
